seed	tail_id	a	b	c	alpha	beta
1	143	3	8	12	9	10
1	144	3	9	2	11	7
1	145	3	9	4	11	12
1	146	3	9	5	7	10
1	147	3	9	6	8	5
1	148	3	9	7	8	11
1	149	3	9	8	7	11
1	150	3	9	10	11	4
1	151	3	9	11	2	10
1	152	3	9	12	4	5
1	153	3	10	2	9	8
1	154	3	10	4	11	8
1	155	3	10	5	2	6
1	156	3	10	6	12	2
1	157	3	10	7	4	6
1	158	3	10	8	9	7
1	159	3	10	9	11	8
1	160	3	10	11	8	12
1	161	3	10	12	7	11
1	162	3	11	2	4	10
1	163	3	11	4	9	2
1	164	3	11	5	6	9
1	165	3	11	6	12	10
1	166	3	11	7	6	2
1	167	3	11	8	9	12
1	168	3	11	9	10	5
1	169	3	11	10	12	5
1	170	3	11	12	2	9
1	171	3	12	2	4	9
1	172	3	12	4	11	9
1	173	3	12	5	9	7
1	174	3	12	6	11	9
1	175	3	12	7	2	11
1	176	3	12	8	5	10
1	177	3	12	9	6	7
1	178	3	12	10	2	8
1	179	3	12	11	10	4
1	180	4	2	3	9	5
1	181	4	2	5	3	7
1	182	4	2	6	3	11
1	183	4	2	7	3	5
1	184	4	2	8	9	12
1	185	4	2	9	10	3
1	186	4	2	10	5	6
1	187	4	2	11	12	8
1	188	4	2	12	3	7
1	189	4	3	2	9	8
1	190	4	3	5	6	11
1	191	4	3	6	10	11
1	192	4	3	7	6	10
1	193	4	3	8	2	11
1	194	4	3	9	5	2
1	195	4	3	10	12	2
1	196	4	3	11	9	10
1	197	4	3	12	6	11
1	198	4	5	2	6	7
1	199	4	5	3	2	11
1	200	4	5	6	10	11
1	201	4	5	7	11	6
1	202	4	5	8	11	6
1	203	4	5	9	3	8
1	204	4	5	10	9	7
1	205	4	5	11	10	9
1	206	4	5	12	7	11
1	207	4	6	2	8	9
1	208	4	6	3	10	5
1	209	4	6	5	12	7
1	210	4	6	7	9	12
1	211	4	6	8	12	2
1	212	4	6	9	8	5
1	213	4	6	10	3	2
1	214	4	6	11	7	5
1	215	4	6	12	11	9
1	216	4	7	2	11	3
1	217	4	7	3	10	5
1	218	4	7	5	9	10
1	219	4	7	6	12	3
1	220	4	7	8	10	3
1	221	4	7	9	10	11
1	222	4	7	10	2	12
1	223	4	7	11	12	5
1	224	4	7	12	8	2
1	225	4	8	2	10	3
1	226	4	8	3	12	6
1	227	4	8	5	7	11
1	228	4	8	6	12	3
1	229	4	8	7	9	5
1	230	4	8	9	12	2
1	231	4	8	10	3	9
1	232	4	8	11	2	10
1	233	4	8	12	2	9
1	234	4	9	2	3	8
1	235	4	9	3	6	8
1	236	4	9	5	7	11
1	237	4	9	6	10	12
1	238	4	9	7	2	6
1	239	4	9	8	5	12
1	240	4	9	10	3	12
1	241	4	9	11	2	10
1	242	4	9	12	8	2
1	243	4	10	2	9	6
1	244	4	10	3	6	8
1	245	4	10	5	2	3
1	246	4	10	6	5	9
1	247	4	10	7	6	12
1	248	4	10	8	2	9
1	249	4	10	9	11	7
1	250	4	10	11	8	7
1	251	4	10	12	7	6
1	252	4	11	2	9	7
1	253	4	11	3	12	5
1	254	4	11	5	6	12
1	255	4	11	6	2	8
1	256	4	11	7	10	8
1	257	4	11	8	5	6
1	258	4	11	9	12	3
1	259	4	11	10	9	3
1	260	4	11	12	10	9
1	261	4	12	2	6	5
1	262	4	12	3	9	6
1	263	4	12	5	10	9
1	264	4	12	6	3	11
1	265	4	12	7	8	5
1	266	4	12	8	6	10
1	267	4	12	9	8	6
1	268	4	12	10	6	3
1	269	4	12	11	3	7
1	270	5	2	3	12	4
1	271	5	2	4	6	10
1	272	5	2	6	11	3
1	273	5	2	7	6	9
1	274	5	2	8	10	12
1	275	5	2	9	11	6
1	276	5	2	10	12	9
1	277	5	2	11	10	12
1	278	5	2	12	11	4
1	279	5	3	2	9	7
1	280	5	3	4	6	2
1	281	5	3	6	10	8
1	282	5	3	7	8	4
1	283	5	3	8	11	6
1	284	5	3	9	11	7
1	285	5	3	10	7	9
1	286	5	3	11	2	12
1	287	5	3	12	2	10
1	288	5	4	2	6	8
1	289	5	4	3	2	11
1	290	5	4	6	9	11
1	291	5	4	7	6	9
1	292	5	4	8	10	3
1	293	5	4	9	11	8
1	294	5	4	10	3	12
1	295	5	4	11	10	2
1	296	5	4	12	9	10
1	297	5	6	2	9	11
1	298	5	6	3	4	12
1	299	5	6	4	9	2
1	300	5	6	7	2	4
1	301	5	6	8	10	9
1	302	5	6	9	3	4
1	303	5	6	10	11	4
1	304	5	6	11	3	9
1	305	5	6	12	10	4
1	306	5	7	2	11	4
1	307	5	7	3	8	6
1	308	5	7	4	10	9
1	309	5	7	6	12	4
1	310	5	7	8	4	2
1	311	5	7	9	6	12
1	312	5	7	10	9	12
1	313	5	7	11	2	6
1	314	5	7	12	4	3
1	315	5	8	2	7	3
1	316	5	8	3	10	4
1	317	5	8	4	9	10
1	318	5	8	6	9	3
1	319	5	8	7	6	11
1	320	5	8	9	6	12
1	321	5	8	10	6	12
1	322	5	8	11	7	10
1	323	5	8	12	7	2
1	324	5	9	2	3	12
1	325	5	9	3	8	2
1	326	5	9	4	8	6
1	327	5	9	6	8	7
1	328	5	9	7	8	10
1	329	5	9	8	7	3
1	330	5	9	10	2	4
1	331	5	9	11	4	12
1	332	5	9	12	3	4
1	333	5	10	2	8	11
1	334	5	10	3	9	4
1	335	5	10	4	7	6
1	336	5	10	6	3	11
1	337	5	10	7	6	3
1	338	5	10	8	11	4
1	339	5	10	9	4	11
1	340	5	10	11	2	6
1	341	5	10	12	6	3
1	342	5	11	2	4	12
1	343	5	11	3	9	12
1	344	5	11	4	10	2
1	345	5	11	6	7	2
1	346	5	11	7	6	9
1	347	5	11	8	9	7
1	348	5	11	9	3	10
1	349	5	11	10	4	9
1	350	5	11	12	4	7
1	351	5	12	2	10	8
1	352	5	12	3	10	9
1	353	5	12	4	9	11
1	354	5	12	6	7	10
1	355	5	12	7	4	2
1	356	5	12	8	9	4
1	357	5	12	9	2	11
1	358	5	12	10	9	8
1	359	5	12	11	9	3
1	360	6	2	3	12	11
1	361	6	2	4	3	5
1	362	6	2	5	3	4
1	363	6	2	7	9	8
1	364	6	2	8	3	7
1	365	6	2	9	11	7
1	366	6	2	10	7	9
1	367	6	2	11	3	5
1	368	6	2	12	9	4
1	369	6	3	2	10	5
1	370	6	3	4	11	7
1	371	6	3	5	12	8
1	372	6	3	7	11	2
1	373	6	3	8	12	10
1	374	6	3	9	10	2
1	375	6	3	10	8	5
1	376	6	3	11	7	4
1	377	6	3	12	5	9
1	378	6	4	2	11	7
1	379	6	4	3	8	7
1	380	6	4	5	3	2
1	381	6	4	7	9	2
1	382	6	4	8	10	7
1	383	6	4	9	12	7
1	384	6	4	10	7	11
1	385	6	4	11	10	3
1	386	6	4	12	11	10
1	387	6	5	2	12	11
1	388	6	5	3	9	2
1	389	6	5	4	3	10
1	390	6	5	7	11	4
1	391	6	5	8	4	7
1	392	6	5	9	2	11
1	393	6	5	10	9	12
1	394	6	5	11	12	4
1	395	6	5	12	7	8
1	396	6	7	2	11	3
1	397	6	7	3	10	12
1	398	6	7	4	12	8
1	399	6	7	5	8	10
1	400	6	7	8	9	5
1	401	6	7	9	4	3
1	402	6	7	10	3	4
1	403	6	7	11	9	5
1	404	6	7	12	10	8
1	405	6	8	2	12	3
1	406	6	8	3	5	9
1	407	6	8	4	9	7
1	408	6	8	5	9	7
1	409	6	8	7	4	3
1	410	6	8	9	11	12
1	411	6	8	10	9	7
1	412	6	8	11	3	12
1	413	6	8	12	7	10
1	414	6	9	2	5	7
1	415	6	9	3	2	12
1	416	6	9	4	8	5
1	417	6	9	5	4	7
1	418	6	9	7	3	10
1	419	6	9	8	5	4
1	420	6	9	10	3	7
1	421	6	9	11	3	8
1	422	6	9	12	8	3
1	423	6	10	2	8	4
1	424	6	10	3	2	11
1	425	6	10	4	2	3
1	426	6	10	5	11	3
1	427	6	10	7	5	2
1	428	6	10	8	12	9
1	429	6	10	9	3	8
1	430	6	10	11	2	4
1	431	6	10	12	9	4
1	432	6	11	2	5	4
1	433	6	11	3	7	12
1	434	6	11	4	10	7
1	435	6	11	5	8	7
1	436	6	11	7	10	5
1	437	6	11	8	7	9
1	438	6	11	9	7	8
1	439	6	11	10	9	3
1	440	6	11	12	10	5
1	441	6	12	2	10	8
1	442	6	12	3	2	7
1	443	6	12	4	10	7
1	444	6	12	5	10	8
1	445	6	12	7	5	9
1	446	6	12	8	4	11
1	447	6	12	9	5	11
1	448	6	12	10	2	4
1	449	6	12	11	5	9
1	450	7	2	3	5	8
1	451	7	2	4	12	3
1	452	7	2	5	8	9
1	453	7	2	6	9	10
1	454	7	2	8	10	5
1	455	7	2	9	8	11
1	456	7	2	10	11	4
1	457	7	2	11	3	9
1	458	7	2	12	6	10
1	459	7	3	2	5	11
1	460	7	3	4	8	12
1	461	7	3	5	11	8
1	462	7	3	6	8	10
1	463	7	3	8	12	4
1	464	7	3	9	12	8
1	465	7	3	10	12	2
1	466	7	3	11	4	8
1	467	7	3	12	2	6
1	468	7	4	2	12	11
1	469	7	4	3	8	2
1	470	7	4	5	9	2
1	471	7	4	6	5	2
1	472	7	4	8	5	2
1	473	7	4	9	10	8
1	474	7	4	10	6	11
1	475	7	4	11	3	12
1	476	7	4	12	8	5
1	477	7	5	2	9	6
1	478	7	5	3	12	8
1	479	7	5	4	12	6
1	480	7	5	6	4	10
1	481	7	5	8	2	3
1	482	7	5	9	8	12
1	483	7	5	10	12	8
1	484	7	5	11	6	4
1	485	7	5	12	2	10
1	486	7	6	2	11	8
1	487	7	6	3	5	9
1	488	7	6	4	8	12
1	489	7	6	5	3	8
1	490	7	6	8	11	2
1	491	7	6	9	4	11
1	492	7	6	10	11	4
1	493	7	6	11	8	5
1	494	7	6	12	11	3
1	495	7	8	2	6	9
1	496	7	8	3	6	9
1	497	7	8	4	5	3
1	498	7	8	5	3	6
1	499	7	8	6	11	12
1	500	7	8	9	11	5
1	501	7	8	10	12	11
1	502	7	8	11	9	6
1	503	7	8	12	3	6
1	504	7	9	2	4	12
1	505	7	9	3	10	4
1	506	7	9	4	5	6
1	507	7	9	5	11	6
1	508	7	9	6	3	8
1	509	7	9	8	10	12
1	510	7	9	10	8	12
1	511	7	9	11	12	8
1	512	7	9	12	11	2
1	513	7	10	2	5	9
1	514	7	10	3	11	4
1	515	7	10	4	3	9
1	516	7	10	5	9	12
1	517	7	10	6	8	3
1	518	7	10	8	6	4
1	519	7	10	9	2	12
1	520	7	10	11	5	4
1	521	7	10	12	5	4
1	522	7	11	2	9	4
1	523	7	11	3	10	12
1	524	7	11	4	6	9
1	525	7	11	5	3	6
1	526	7	11	6	8	9
1	527	7	11	8	5	3
1	528	7	11	9	12	5
1	529	7	11	10	8	9
1	530	7	11	12	6	8
1	531	7	12	2	11	9
1	532	7	12	3	6	4
1	533	7	12	4	3	8
1	534	7	12	5	9	3
1	535	7	12	6	10	4
1	536	7	12	8	9	2
1	537	7	12	9	10	4
1	538	7	12	10	9	4
1	539	7	12	11	2	9
1	540	8	2	3	7	4
1	541	8	2	4	9	5
1	542	8	2	5	12	6
1	543	8	2	6	9	3
1	544	8	2	7	4	10
1	545	8	2	9	3	11
1	546	8	2	10	4	5
1	547	8	2	11	9	5
1	548	8	2	12	5	3
1	549	8	3	2	4	11
1	550	8	3	4	5	6
1	551	8	3	5	12	9
1	552	8	3	6	5	4
1	553	8	3	7	11	4
1	554	8	3	9	6	4
1	555	8	3	10	11	2
1	556	8	3	11	6	9
1	557	8	3	12	4	2
1	558	8	4	2	10	9
1	559	8	4	3	10	6
1	560	8	4	5	10	2
1	561	8	4	6	11	7
1	562	8	4	7	3	11
1	563	8	4	9	12	10
1	564	8	4	10	2	9
1	565	8	4	11	3	12
1	566	8	4	12	5	6
1	567	8	5	2	9	7
1	568	8	5	3	2	12
1	569	8	5	4	6	12
1	570	8	5	6	3	7
1	571	8	5	7	12	4
1	572	8	5	9	11	4
1	573	8	5	10	2	4
1	574	8	5	11	7	3
1	575	8	5	12	11	6
1	576	8	6	2	3	10
1	577	8	6	3	12	9
1	578	8	6	4	10	5
1	579	8	6	5	4	3
1	580	8	6	7	9	2
1	581	8	6	9	3	7
1	582	8	6	10	9	12
1	583	8	6	11	5	3
1	584	8	6	12	7	11
1	585	8	7	2	5	10
1	586	8	7	3	10	5
1	587	8	7	4	2	3
1	588	8	7	5	3	11
1	589	8	7	6	5	10
1	590	8	7	9	2	5
1	591	8	7	10	5	4
1	592	8	7	11	5	6
1	593	8	7	12	2	3
1	594	8	9	2	4	6
1	595	8	9	3	7	6
1	596	8	9	4	7	3
1	597	8	9	5	11	6
1	598	8	9	6	11	5
1	599	8	9	7	11	10
1	600	8	9	10	7	3
1	601	8	9	11	2	3
1	602	8	9	12	11	10
1	603	8	10	2	4	3
1	604	8	10	3	4	5
1	605	8	10	4	11	6
1	606	8	10	5	6	12
1	607	8	10	6	3	9
1	608	8	10	7	4	2
1	609	8	10	9	6	11
1	610	8	10	11	9	7
1	611	8	10	12	9	5
1	612	8	11	2	9	5
1	613	8	11	3	5	6
1	614	8	11	4	9	12
1	615	8	11	5	6	4
1	616	8	11	6	4	2
1	617	8	11	7	6	2
1	618	8	11	9	10	3
1	619	8	11	10	9	5
1	620	8	11	12	6	4
1	621	8	12	2	10	3
1	622	8	12	3	2	10
1	623	8	12	4	9	6
1	624	8	12	5	3	10
1	625	8	12	6	4	2
1	626	8	12	7	11	5
1	627	8	12	9	5	2
1	628	8	12	10	5	9
1	629	8	12	11	9	5
1	630	9	2	3	6	10
1	631	9	2	4	7	11
1	632	9	2	5	10	6
1	633	9	2	6	3	8
1	634	9	2	7	5	3
1	635	9	2	8	4	6
1	636	9	2	10	4	3
1	637	9	2	11	10	7
1	638	9	2	12	4	8
1	639	9	3	2	7	8
1	640	9	3	4	12	7
1	641	9	3	5	10	12
1	642	9	3	6	11	4
1	643	9	3	7	11	5
1	644	9	3	8	12	10
1	645	9	3	10	12	4
1	646	9	3	11	6	5
1	647	9	3	12	8	5
1	648	9	4	2	7	12
1	649	9	4	3	11	5
1	650	9	4	5	6	11
1	651	9	4	6	2	11
1	652	9	4	7	5	8
1	653	9	4	8	11	10
1	654	9	4	10	3	11
1	655	9	4	11	7	12
1	656	9	4	12	10	7
1	657	9	5	2	4	6
1	658	9	5	3	6	4
1	659	9	5	4	2	6
1	660	9	5	6	7	4
1	661	9	5	7	8	3
1	662	9	5	8	12	2
1	663	9	5	10	6	8
1	664	9	5	11	7	6
1	665	9	5	12	3	2
1	666	9	6	2	4	12
1	667	9	6	3	11	12
1	668	9	6	4	5	3
1	669	9	6	5	7	2
1	670	9	6	7	12	11
1	671	9	6	8	5	7
1	672	9	6	10	2	4
1	673	9	6	11	12	3
1	674	9	6	12	3	10
1	675	9	7	2	11	12
1	676	9	7	3	10	4
1	677	9	7	4	11	2
1	678	9	7	5	8	10
1	679	9	7	6	10	5
1	680	9	7	8	11	5
1	681	9	7	10	3	6
1	682	9	7	11	4	3
1	683	9	7	12	8	5
1	684	9	8	2	3	12
1	685	9	8	3	7	11
1	686	9	8	4	12	2
1	687	9	8	5	4	11
1	688	9	8	6	4	10
1	689	9	8	7	12	3
1	690	9	8	10	4	6
1	691	9	8	11	5	12
1	692	9	8	12	11	5
1	693	9	10	2	6	7
1	694	9	10	3	6	2
1	695	9	10	4	2	12
1	696	9	10	5	11	12
1	697	9	10	6	4	5
1	698	9	10	7	5	3
1	699	9	10	8	5	12
1	700	9	10	11	2	6
1	701	9	10	12	2	8
1	702	9	11	2	6	4
1	703	9	11	3	6	12
1	704	9	11	4	7	10
1	705	9	11	5	8	6
1	706	9	11	6	4	12
1	707	9	11	7	5	8
1	708	9	11	8	2	5
1	709	9	11	10	12	7
1	710	9	11	12	3	6
1	711	9	12	2	11	10
1	712	9	12	3	4	2
1	713	9	12	4	11	7
1	714	9	12	5	2	8
1	715	9	12	6	11	5
1	716	9	12	7	11	8
1	717	9	12	8	2	6
1	718	9	12	10	6	4
1	719	9	12	11	4	5
1	720	10	2	3	5	7
1	721	10	2	4	3	6
1	722	10	2	5	4	7
1	723	10	2	6	9	8
1	724	10	2	7	8	3
1	725	10	2	8	7	6
1	726	10	2	9	7	12
1	727	10	2	11	3	6
1	728	10	2	12	3	8
1	729	10	3	2	8	11
1	730	10	3	4	11	9
1	731	10	3	5	9	12
1	732	10	3	6	9	12
1	733	10	3	7	9	2
1	734	10	3	8	7	11
1	735	10	3	9	6	8
1	736	10	3	11	5	7
1	737	10	3	12	2	9
1	738	10	4	2	3	7
1	739	10	4	3	7	8
1	740	10	4	5	8	12
1	741	10	4	6	9	3
1	742	10	4	7	8	3
1	743	10	4	8	6	5
1	744	10	4	9	6	7
1	745	10	4	11	12	3
1	746	10	4	12	7	5
1	747	10	5	2	6	4
1	748	10	5	3	7	9
1	749	10	5	4	7	12
1	750	10	5	6	11	2
1	751	10	5	7	2	9
1	752	10	5	8	11	2
1	753	10	5	9	12	6
1	754	10	5	11	3	7
1	755	10	5	12	11	2
1	756	10	6	2	8	12
1	757	10	6	3	9	8
1	758	10	6	4	8	2
1	759	10	6	5	2	4
1	760	10	6	7	3	4
1	761	10	6	8	5	9
1	762	10	6	9	8	2
1	763	10	6	11	9	2
1	764	10	6	12	8	9
1	765	10	7	2	6	11
1	766	10	7	3	11	2
1	767	10	7	4	6	9
1	768	10	7	5	8	2
1	769	10	7	6	5	4
1	770	10	7	8	3	12
1	771	10	7	9	8	5
1	772	10	7	11	12	3
1	773	10	7	12	2	6
1	774	10	8	2	11	5
1	775	10	8	3	6	5
1	776	10	8	4	9	3
1	777	10	8	5	6	9
1	778	10	8	6	2	11
1	779	10	8	7	2	11
1	780	10	8	9	7	3
1	781	10	8	11	7	12
1	782	10	8	12	6	4
1	783	10	9	2	6	5
1	784	10	9	3	11	6
1	785	10	9	4	11	12
1	786	10	9	5	8	6
1	787	10	9	6	5	12
1	788	10	9	7	2	12
1	789	10	9	8	6	5
1	790	10	9	11	7	4
1	791	10	9	12	3	6
1	792	10	11	2	9	5
1	793	10	11	3	2	9
1	794	10	11	4	12	9
1	795	10	11	5	6	2
1	796	10	11	6	3	9
1	797	10	11	7	5	3
1	798	10	11	8	2	7
1	799	10	11	9	2	4
1	800	10	11	12	3	9
1	801	10	12	2	5	11
1	802	10	12	3	11	8
1	803	10	12	4	3	2
1	804	10	12	5	7	6
1	805	10	12	6	8	3
1	806	10	12	7	6	2
1	807	10	12	8	6	7
1	808	10	12	9	3	11
1	809	10	12	11	9	7
1	810	11	2	3	7	5
1	811	11	2	4	12	6
1	812	11	2	5	7	6
1	813	11	2	6	7	5
1	814	11	2	7	6	12
1	815	11	2	8	3	9
1	816	11	2	9	4	6
1	817	11	2	10	5	4
1	818	11	2	12	6	3
1	819	11	3	2	10	4
1	820	11	3	4	8	6
1	821	11	3	5	4	9
1	822	11	3	6	10	4
1	823	11	3	7	4	5
1	824	11	3	8	10	5
1	825	11	3	9	8	2
1	826	11	3	10	4	8
1	827	11	3	12	7	8
1	828	11	4	2	3	8
1	829	11	4	3	10	9
1	830	11	4	5	6	8
1	831	11	4	6	3	5
1	832	11	4	7	12	5
1	833	11	4	8	5	2
1	834	11	4	9	6	12
1	835	11	4	10	8	5
1	836	11	4	12	8	6
1	837	11	5	2	6	10
1	838	11	5	3	4	2
1	839	11	5	4	6	3
1	840	11	5	6	8	4
1	841	11	5	7	8	2
1	842	11	5	8	3	12
1	843	11	5	9	3	8
1	844	11	5	10	4	6
1	845	11	5	12	6	4
1	846	11	6	2	5	3
1	847	11	6	3	4	2
1	848	11	6	4	10	9
1	849	11	6	5	7	12
1	850	11	6	7	3	5
1	851	11	6	8	2	4
1	852	11	6	9	3	4
1	853	11	6	10	2	4
1	854	11	6	12	3	7
1	855	11	7	2	9	12
1	856	11	7	3	2	10
1	857	11	7	4	3	2
1	858	11	7	5	2	4
1	859	11	7	6	2	10
1	860	11	7	8	9	12
1	861	11	7	9	12	5
1	862	11	7	10	8	12
1	863	11	7	12	6	3
1	864	11	8	2	3	10
1	865	11	8	3	4	6
1	866	11	8	4	2	3
1	867	11	8	5	12	7
1	868	11	8	6	2	9
1	869	11	8	7	6	10
1	870	11	8	9	5	12
1	871	11	8	10	2	7
1	872	11	8	12	6	7
1	873	11	9	2	3	4
1	874	11	9	3	6	5
1	875	11	9	4	8	10
1	876	11	9	5	12	6
1	877	11	9	6	8	2
1	878	11	9	7	6	8
1	879	11	9	8	10	4
1	880	11	9	10	5	4
1	881	11	9	12	4	7
1	882	11	10	2	5	12
1	883	11	10	3	8	7
1	884	11	10	4	3	12
1	885	11	10	5	6	8
1	886	11	10	6	12	9
1	887	11	10	7	9	8
1	888	11	10	8	2	6
1	889	11	10	9	3	2
1	890	11	10	12	2	7
1	891	11	12	2	5	3
1	892	11	12	3	10	6
1	893	11	12	4	10	3
1	894	11	12	5	6	9
1	895	11	12	6	9	3
1	896	11	12	7	9	10
1	897	11	12	8	6	4
1	898	11	12	9	8	5
1	899	11	12	10	7	3
1	900	12	2	3	4	9
1	901	12	2	4	5	11
1	902	12	2	5	3	6
1	903	12	2	6	7	8
1	904	12	2	7	11	8
1	905	12	2	8	3	6
1	906	12	2	9	4	10
1	907	12	2	10	3	9
1	908	12	2	11	9	6
1	909	12	3	2	6	4
1	910	12	3	4	5	9
1	911	12	3	5	11	4
1	912	12	3	6	8	4
1	913	12	3	7	9	5
1	914	12	3	8	5	2
1	915	12	3	9	10	7
1	916	12	3	10	7	6
1	917	12	3	11	7	6
1	918	12	4	2	6	9
1	919	12	4	3	7	10
1	920	12	4	5	6	11
1	921	12	4	6	11	7
1	922	12	4	7	6	9
1	923	12	4	8	10	2
1	924	12	4	9	7	3
1	925	12	4	10	6	9
1	926	12	4	11	6	8
1	927	12	5	2	10	6
1	928	12	5	3	11	10
1	929	12	5	4	8	9
1	930	12	5	6	9	11
1	931	12	5	7	11	2
1	932	12	5	8	6	4
1	933	12	5	9	10	7
1	934	12	5	10	6	9
1	935	12	5	11	2	8
1	936	12	6	2	4	3
1	937	12	6	3	5	7
1	938	12	6	4	8	3
1	939	12	6	5	9	3
1	940	12	6	7	9	8
1	941	12	6	8	3	5
1	942	12	6	9	2	5
1	943	12	6	10	3	4
1	944	12	6	11	8	7
1	945	12	7	2	6	10
1	946	12	7	3	9	8
1	947	12	7	4	3	5
1	948	12	7	5	11	4
1	949	12	7	6	3	4
1	950	12	7	8	3	9
1	951	12	7	9	2	3
1	952	12	7	10	5	9
1	953	12	7	11	2	8
1	954	12	8	2	11	5
1	955	12	8	3	7	9
1	956	12	8	4	2	9
1	957	12	8	5	7	10
1	958	12	8	6	9	11
1	959	12	8	7	11	4
1	960	12	8	9	2	3
1	961	12	8	10	4	11
1	962	12	8	11	10	9
1	963	12	9	2	7	4
1	964	12	9	3	8	10
1	965	12	9	4	2	7
1	966	12	9	5	8	2
1	967	12	9	6	5	8
1	968	12	9	7	11	6
1	969	12	9	8	4	3
1	970	12	9	10	6	8
1	971	12	9	11	3	6
1	972	12	10	2	5	11
1	973	12	10	3	11	5
1	974	12	10	4	5	3
1	975	12	10	5	4	11
1	976	12	10	6	2	8
1	977	12	10	7	3	8
1	978	12	10	8	11	2
1	979	12	10	9	3	4
1	980	12	10	11	5	9
1	981	12	11	2	9	6
1	982	12	11	3	6	4
1	983	12	11	4	8	5
1	984	12	11	5	3	6
1	985	12	11	6	7	4
1	986	12	11	7	10	9
1	987	12	11	8	4	6
1	988	12	11	9	3	7
1	989	12	11	10	4	5
6	0	2	3	4	5	11
6	1	2	3	5	9	10
6	2	2	3	6	11	4
6	3	2	3	7	10	6
6	4	2	3	8	10	7
6	5	2	3	9	5	7
6	6	2	3	10	12	11
