tail_id	a	b	c	alpha	beta
107	3	4	12	9	11
108	3	5	2	10	11
109	3	5	4	2	6
110	3	5	6	4	9
111	3	5	7	9	11
112	3	5	8	2	4
113	3	5	9	8	11
114	3	5	10	2	9
115	3	5	11	2	4
116	3	5	12	6	8
117	3	6	2	8	12
118	3	6	4	2	5
119	3	6	5	9	12
120	3	6	7	4	8
121	3	6	8	9	10
122	3	6	9	10	12
123	3	6	10	2	5
124	3	6	11	5	7
125	3	6	12	4	7
126	3	7	2	9	10
127	3	7	4	6	10
128	3	7	5	8	11
129	3	7	6	5	8
130	3	7	8	2	9
131	3	7	9	2	4
132	3	7	10	2	8
133	3	7	11	8	12
134	3	7	12	8	11
135	3	8	2	10	11
136	3	8	4	5	9
137	3	8	5	4	6
138	3	8	6	7	9
139	3	8	7	11	12
140	3	8	9	4	11
141	3	8	10	5	6
142	3	8	11	4	10
143	3	8	12	4	11
144	3	9	2	4	8
145	3	9	4	7	8
146	3	9	5	4	6
147	3	9	6	7	12
148	3	9	7	2	11
149	3	9	8	4	7
150	3	9	10	2	11
151	3	9	11	5	7
152	3	9	12	4	10
153	3	10	2	4	11
154	3	10	4	6	11
155	3	10	5	7	9
156	3	10	6	2	8
157	3	10	7	5	8
158	3	10	8	2	7
159	3	10	9	2	6
160	3	10	11	8	9
161	3	10	12	7	8
162	3	11	2	7	9
163	3	11	4	5	7
164	3	11	5	7	9
165	3	11	6	9	10
166	3	11	7	6	10
167	3	11	8	6	12
168	3	11	9	7	8
169	3	11	10	2	12
170	3	11	12	5	7
171	3	12	2	5	11
172	3	12	4	6	8
173	3	12	5	8	10
174	3	12	6	2	10
175	3	12	7	5	6
176	3	12	8	5	6
177	3	12	9	8	11
178	3	12	10	2	6
179	3	12	11	2	4
180	4	2	3	7	11
181	4	2	5	3	6
182	4	2	6	3	5
183	4	2	7	8	12
184	4	2	8	5	7
185	4	2	9	3	11
186	4	2	10	3	6
187	4	2	11	3	8
188	4	2	12	6	7
189	4	3	2	8	9
190	4	3	5	6	9
191	4	3	6	7	12
192	4	3	7	2	5
193	4	3	8	9	12
194	4	3	9	7	10
195	4	3	10	5	7
196	4	3	11	2	8
197	4	3	12	7	8
198	4	5	2	8	11
199	4	5	3	6	10
200	4	5	6	3	9
201	4	5	7	9	11
202	4	5	8	3	10
203	4	5	9	6	12
204	4	5	10	8	9
205	4	5	11	3	7
206	4	5	12	2	7
207	4	6	2	7	8
208	4	6	3	8	9
209	4	6	5	2	12
210	4	6	7	3	10
211	4	6	8	5	11
212	4	6	9	7	8
213	4	6	10	3	12
214	4	6	11	2	12
215	4	6	12	2	7
216	4	7	2	5	10
217	4	7	3	10	12
218	4	7	5	11	12
219	4	7	6	8	12
220	4	7	8	5	11
221	4	7	9	6	10
222	4	7	10	6	11
223	4	7	11	2	12
224	4	7	12	3	8
225	4	8	2	3	9
226	4	8	3	10	12
227	4	8	5	7	10
228	4	8	6	7	11
229	4	8	7	9	11
230	4	8	9	3	5
231	4	8	10	2	3
232	4	8	11	3	5
233	4	8	12	5	9
234	4	9	2	6	11
235	4	9	3	7	8
236	4	9	5	6	7
237	4	9	6	2	8
238	4	9	7	6	12
239	4	9	8	6	11
240	4	9	10	2	8
241	4	9	11	2	10
242	4	9	12	8	11
243	4	10	2	8	11
244	4	10	3	7	8
245	4	10	5	3	6
246	4	10	6	2	9
247	4	10	7	3	5
248	4	10	8	2	5
249	4	10	9	3	5
250	4	10	11	6	7
251	4	10	12	2	5
252	4	11	2	8	12
253	4	11	3	8	9
254	4	11	5	9	10
255	4	11	6	5	7
256	4	11	7	2	5
257	4	11	8	2	9
258	4	11	9	3	10
259	4	11	10	5	7
260	4	11	12	2	6
261	4	12	2	7	9
262	4	12	3	6	8
263	4	12	5	2	9
264	4	12	6	3	8
265	4	12	7	3	8
266	4	12	8	6	11
267	4	12	9	3	6
268	4	12	10	2	6
269	4	12	11	2	6
270	5	2	3	4	6
271	5	2	4	9	11
272	5	2	6	7	9
273	5	2	7	9	11
274	5	2	8	3	6
275	5	2	9	10	12
276	5	2	10	6	9
277	5	2	11	6	10
278	5	2	12	6	11
279	5	3	2	4	9
280	5	3	4	2	10
281	5	3	6	4	9
282	5	3	7	2	8
283	5	3	8	9	12
284	5	3	9	2	6
285	5	3	10	2	9
286	5	3	11	6	9
287	5	3	12	4	6
288	5	4	2	7	8
289	5	4	3	2	6
290	5	4	6	8	11
291	5	4	7	11	12
292	5	4	8	3	10
293	5	4	9	7	8
294	5	4	10	7	9
295	5	4	11	2	6
296	5	4	12	3	10
297	5	6	2	3	12
298	5	6	3	7	12
299	5	6	4	3	12
300	5	6	7	4	10
301	5	6	8	4	10
302	5	6	9	3	11
303	5	6	10	2	12
304	5	6	11	8	10
305	5	6	12	4	11
306	5	7	2	6	12
307	5	7	3	6	8
308	5	7	4	11	12
309	5	7	6	2	12
310	5	7	8	6	9
311	5	7	9	3	6
312	5	7	10	6	11
313	5	7	11	4	9
314	5	7	12	4	10
315	5	8	2	3	11
316	5	8	3	4	9
317	5	8	4	9	11
318	5	8	6	3	7
319	5	8	7	6	12
320	5	8	9	6	7
321	5	8	10	6	7
322	5	8	11	4	6
323	5	8	12	2	4
324	5	9	2	10	11
325	5	9	3	2	12
326	5	9	4	8	12
327	5	9	6	2	11
328	5	9	7	2	10
329	5	9	8	2	6
330	5	9	10	4	11
331	5	9	11	4	12
332	5	9	12	7	11
333	5	10	2	7	12
334	5	10	3	7	9
335	5	10	4	2	12
336	5	10	6	4	11
337	5	10	7	11	12
338	5	10	8	2	9
339	5	10	9	3	7
340	5	10	11	4	6
341	5	10	12	6	7
342	5	11	2	6	10
343	5	11	3	7	12
344	5	11	4	7	10
345	5	11	6	4	12
346	5	11	7	2	4
347	5	11	8	2	9
348	5	11	9	6	12
349	5	11	10	2	6
350	5	11	12	2	9
351	5	12	2	3	7
352	5	12	3	8	11
353	5	12	4	3	11
354	5	12	6	2	7
355	5	12	7	6	9
356	5	12	8	2	11
357	5	12	9	6	11
358	5	12	10	4	9
359	5	12	11	6	9
360	6	2	3	10	11
361	6	2	4	3	12
362	6	2	5	3	7
363	6	2	7	8	12
364	6	2	8	7	12
365	6	2	9	11	12
366	6	2	10	3	7
367	6	2	11	4	12
368	6	2	12	3	4
369	6	3	2	9	12
370	6	3	4	2	10
371	6	3	5	11	12
372	6	3	7	5	12
373	6	3	8	7	11
374	6	3	9	2	10
375	6	3	10	4	7
376	6	3	11	4	5
377	6	3	12	4	8
378	6	4	2	7	10
379	6	4	3	7	9
380	6	4	5	7	12
381	6	4	7	3	11
382	6	4	8	2	10
383	6	4	9	5	10
384	6	4	10	2	7
385	6	4	11	8	12
386	6	4	12	3	5
387	6	5	2	4	12
388	6	5	3	7	11
389	6	5	4	3	8
390	6	5	7	8	10
391	6	5	8	3	12
392	6	5	9	8	10
393	6	5	10	9	12
394	6	5	11	2	3
395	6	5	12	8	9
396	6	7	2	5	8
397	6	7	3	4	8
398	6	7	4	8	12
399	6	7	5	9	10
400	6	7	8	3	12
401	6	7	9	3	12
402	6	7	10	2	3
403	6	7	11	3	10
404	6	7	12	8	9
405	6	8	2	3	5
406	6	8	3	5	12
407	6	8	4	3	12
408	6	8	5	4	12
409	6	8	7	5	12
410	6	8	9	4	11
411	6	8	10	5	12
412	6	8	11	2	3
413	6	8	12	4	5
414	6	9	2	7	10
415	6	9	3	7	10
416	6	9	4	5	10
417	6	9	5	3	11
418	6	9	7	2	12
419	6	9	8	2	11
420	6	9	10	3	7
421	6	9	11	5	10
422	6	9	12	3	10
423	6	10	2	3	4
424	6	10	3	8	9
425	6	10	4	3	12
426	6	10	5	4	12
427	6	10	7	3	8
428	6	10	8	11	12
429	6	10	9	3	4
430	6	10	11	7	9
431	6	10	12	8	11
432	6	11	2	3	10
433	6	11	3	2	8
434	6	11	4	7	10
435	6	11	5	3	8
436	6	11	7	2	5
437	6	11	8	2	10
438	6	11	9	2	12
439	6	11	10	5	9
440	6	11	12	3	4
441	6	12	2	3	5
442	6	12	3	4	11
443	6	12	4	3	11
444	6	12	5	3	8
445	6	12	7	8	10
446	6	12	8	4	9
447	6	12	9	5	7
448	6	12	10	4	11
449	6	12	11	9	10
450	7	2	3	8	10
451	7	2	4	6	11
452	7	2	5	3	12
453	7	2	6	3	5
454	7	2	8	4	5
455	7	2	9	4	10
456	7	2	10	11	12
457	7	2	11	6	12
458	7	2	12	5	9
459	7	3	2	5	8
460	7	3	4	9	12
461	7	3	5	2	6
462	7	3	6	4	8
463	7	3	8	5	9
464	7	3	9	6	11
465	7	3	10	5	8
466	7	3	11	4	5
467	7	3	12	5	10
468	7	4	2	5	9
469	7	4	3	8	9
470	7	4	5	8	9
471	7	4	6	3	5
472	7	4	8	9	11
473	7	4	9	5	11
474	7	4	10	6	8
475	7	4	11	2	10
476	7	4	12	2	6
477	7	5	2	6	8
478	7	5	3	9	10
479	7	5	4	8	11
480	7	5	6	4	9
481	7	5	8	3	11
482	7	5	9	3	8
483	7	5	10	2	9
484	7	5	11	2	3
485	7	5	12	9	11
486	7	6	2	5	10
487	7	6	3	9	11
488	7	6	4	3	5
489	7	6	5	10	12
490	7	6	8	3	12
491	7	6	9	3	12
492	7	6	10	5	11
493	7	6	11	5	8
494	7	6	12	2	11
495	7	8	2	4	9
496	7	8	3	9	11
497	7	8	4	3	6
498	7	8	5	9	12
499	7	8	6	3	10
500	7	8	9	3	6
501	7	8	10	4	12
502	7	8	11	5	12
503	7	8	12	5	11
504	7	9	2	5	11
505	7	9	3	5	6
506	7	9	4	3	8
507	7	9	5	2	6
508	7	9	6	3	5
509	7	9	8	3	4
510	7	9	10	6	12
511	7	9	11	2	12
512	7	9	12	2	3
513	7	10	2	5	6
514	7	10	3	4	12
515	7	10	4	9	11
516	7	10	5	2	9
517	7	10	6	2	9
518	7	10	8	3	5
519	7	10	9	4	5
520	7	10	11	2	5
521	7	10	12	8	9
522	7	11	2	6	8
523	7	11	3	8	9
524	7	11	4	5	12
525	7	11	5	4	6
526	7	11	6	8	12
527	7	11	8	3	4
528	7	11	9	2	3
529	7	11	10	4	5
530	7	11	12	8	10
531	7	12	2	6	10
532	7	12	3	8	10
533	7	12	4	6	9
534	7	12	5	3	4
535	7	12	6	8	10
536	7	12	8	9	11
537	7	12	9	3	5
538	7	12	10	5	6
539	7	12	11	3	9
540	8	2	3	6	10
541	8	2	4	6	9
542	8	2	5	7	11
543	8	2	6	9	12
544	8	2	7	3	12
545	8	2	9	3	6
546	8	2	10	6	7
547	8	2	11	4	10
548	8	2	12	4	10
549	8	3	2	7	9
550	8	3	4	7	9
551	8	3	5	4	9
552	8	3	6	2	9
553	8	3	7	5	11
554	8	3	9	2	6
555	8	3	10	11	12
556	8	3	11	6	12
557	8	3	12	2	4
558	8	4	2	5	7
559	8	4	3	2	12
560	8	4	5	3	11
561	8	4	6	10	11
562	8	4	7	6	9
563	8	4	9	2	7
564	8	4	10	3	6
565	8	4	11	7	10
566	8	4	12	5	9
567	8	5	2	11	12
568	8	5	3	4	6
569	8	5	4	9	11
570	8	5	6	4	12
571	8	5	7	3	11
572	8	5	9	3	6
573	8	5	10	4	7
574	8	5	11	10	12
575	8	5	12	2	10
576	8	6	2	9	11
577	8	6	3	5	9
578	8	6	4	2	12
579	8	6	5	3	11
580	8	6	7	11	12
581	8	6	9	7	10
582	8	6	10	9	12
583	8	6	11	10	12
584	8	6	12	9	11
585	8	7	2	4	6
586	8	7	3	10	12
587	8	7	4	2	11
588	8	7	5	4	12
589	8	7	6	11	12
590	8	7	9	2	5
591	8	7	10	2	11
592	8	7	11	3	12
593	8	7	12	2	4
594	8	9	2	5	12
595	8	9	3	6	10
596	8	9	4	6	12
597	8	9	5	2	6
598	8	9	6	2	11
599	8	9	7	3	11
600	8	9	10	7	12
601	8	9	11	2	7
602	8	9	12	5	6
603	8	10	2	7	11
604	8	10	3	5	9
605	8	10	4	5	12
606	8	10	5	2	9
607	8	10	6	4	7
608	8	10	7	4	11
609	8	10	9	11	12
610	8	10	11	6	7
611	8	10	12	2	9
612	8	11	2	3	12
613	8	11	3	4	10
614	8	11	4	6	10
615	8	11	5	6	12
616	8	11	6	3	5
617	8	11	7	2	5
618	8	11	9	5	6
619	8	11	10	2	12
620	8	11	12	6	9
621	8	12	2	3	10
622	8	12	3	7	11
623	8	12	4	6	7
624	8	12	5	6	10
625	8	12	6	5	10
626	8	12	7	3	4
627	8	12	9	2	10
628	8	12	10	5	6
629	8	12	11	2	6
630	9	2	3	5	11
631	9	2	4	7	10
632	9	2	5	3	11
633	9	2	6	3	11
634	9	2	7	3	5
635	9	2	8	6	11
636	9	2	10	3	4
637	9	2	11	3	5
638	9	2	12	6	8
639	9	3	2	7	10
640	9	3	4	6	11
641	9	3	5	7	8
642	9	3	6	7	10
643	9	3	7	6	11
644	9	3	8	10	11
645	9	3	10	4	12
646	9	3	11	10	12
647	9	3	12	5	6
648	9	4	2	6	10
649	9	4	3	5	7
650	9	4	5	6	7
651	9	4	6	2	10
652	9	4	7	5	10
653	9	4	8	3	12
654	9	4	10	2	7
655	9	4	11	7	10
656	9	4	12	7	11
657	9	5	2	7	12
658	9	5	3	4	7
659	9	5	4	8	10
660	9	5	6	7	10
661	9	5	7	10	12
662	9	5	8	7	12
663	9	5	10	6	12
664	9	5	11	4	7
665	9	5	12	4	11
666	9	6	2	3	12
667	9	6	3	10	11
668	9	6	4	11	12
669	9	6	5	11	12
670	9	6	7	5	10
671	9	6	8	4	7
672	9	6	10	2	8
673	9	6	11	7	8
674	9	6	12	3	7
675	9	7	2	4	12
676	9	7	3	4	8
677	9	7	4	5	11
678	9	7	5	4	8
679	9	7	6	2	3
680	9	7	8	4	6
681	9	7	10	4	6
682	9	7	11	8	10
683	9	7	12	2	11
684	9	8	2	5	12
685	9	8	3	2	4
686	9	8	4	6	12
687	9	8	5	3	4
688	9	8	6	7	12
689	9	8	7	4	6
690	9	8	10	4	6
691	9	8	11	4	5
692	9	8	12	3	11
693	9	10	2	4	8
694	9	10	3	6	8
695	9	10	4	2	7
696	9	10	5	2	7
697	9	10	6	7	12
698	9	10	7	4	11
699	9	10	8	4	11
700	9	10	11	3	8
701	9	10	12	4	5
702	9	11	2	5	8
703	9	11	3	5	6
704	9	11	4	5	8
705	9	11	5	10	12
706	9	11	6	8	12
707	9	11	7	2	10
708	9	11	8	3	4
709	9	11	10	3	7
710	9	11	12	2	4
711	9	12	2	5	11
712	9	12	3	5	7
713	9	12	4	5	10
714	9	12	5	4	8
715	9	12	6	4	5
716	9	12	7	3	6
717	9	12	8	5	7
718	9	12	10	3	6
719	9	12	11	3	6
720	10	2	3	6	9
721	10	2	4	5	12
722	10	2	5	3	8
723	10	2	6	4	11
724	10	2	7	9	11
725	10	2	8	5	9
726	10	2	9	6	12
727	10	2	11	5	9
728	10	2	12	7	9
729	10	3	2	7	8
730	10	3	4	8	11
731	10	3	5	7	11
732	10	3	6	8	11
733	10	3	7	5	6
734	10	3	8	6	9
735	10	3	9	4	7
736	10	3	11	6	12
737	10	3	12	5	6
738	10	4	2	8	12
739	10	4	3	6	12
740	10	4	5	2	7
741	10	4	6	2	7
742	10	4	7	5	11
743	10	4	8	5	11
744	10	4	9	5	12
745	10	4	11	5	9
746	10	4	12	6	11
747	10	5	2	3	4
748	10	5	3	2	12
749	10	5	4	2	6
750	10	5	6	7	8
751	10	5	7	3	8
752	10	5	8	2	4
753	10	5	9	3	12
754	10	5	11	2	12
755	10	5	12	8	9
756	10	6	2	3	11
757	10	6	3	4	9
758	10	6	4	2	5
759	10	6	5	4	12
760	10	6	7	11	12
761	10	6	8	9	11
762	10	6	9	4	12
763	10	6	11	3	12
764	10	6	12	3	8
765	10	7	2	3	4
766	10	7	3	4	8
767	10	7	4	3	5
768	10	7	5	2	6
769	10	7	6	3	11
770	10	7	8	4	6
771	10	7	9	6	12
772	10	7	11	3	6
773	10	7	12	2	6
774	10	8	2	6	12
775	10	8	3	4	6
776	10	8	4	2	5
777	10	8	5	3	11
778	10	8	6	7	11
779	10	8	7	3	12
780	10	8	9	2	6
781	10	8	11	9	12
782	10	8	12	5	6
783	10	9	2	4	8
784	10	9	3	5	7
785	10	9	4	2	12
786	10	9	5	7	8
787	10	9	6	3	7
788	10	9	7	8	12
789	10	9	8	5	12
790	10	9	11	2	12
791	10	9	12	4	5
792	10	11	2	5	12
793	10	11	3	5	6
794	10	11	4	8	9
795	10	11	5	4	7
796	10	11	6	2	8
797	10	11	7	8	9
798	10	11	8	3	6
799	10	11	9	2	4
800	10	11	12	2	6
801	10	12	2	4	7
802	10	12	3	6	7
803	10	12	4	3	9
804	10	12	5	4	6
805	10	12	6	8	9
806	10	12	7	8	11
807	10	12	8	2	9
808	10	12	9	2	8
809	10	12	11	7	9
810	11	2	3	4	10
811	11	2	4	3	8
812	11	2	5	4	9
813	11	2	6	5	10
814	11	2	7	4	12
815	11	2	8	4	10
816	11	2	9	3	12
817	11	2	10	4	5
818	11	2	12	6	8
819	11	3	2	4	5
820	11	3	4	2	7
821	11	3	5	6	9
822	11	3	6	8	10
823	11	3	7	6	9
824	11	3	8	6	12
825	11	3	9	2	6
826	11	3	10	2	8
827	11	3	12	6	7
828	11	4	2	3	5
829	11	4	3	7	12
830	11	4	5	2	7
831	11	4	6	2	9
832	11	4	7	2	12
833	11	4	8	2	3
834	11	4	9	2	6
835	11	4	10	5	9
836	11	4	12	2	9
837	11	5	2	9	10
838	11	5	3	2	12
839	11	5	4	3	10
840	11	5	6	3	4
841	11	5	7	2	3
842	11	5	8	4	12
843	11	5	9	8	10
844	11	5	10	8	12
845	11	5	12	8	10
846	11	6	2	7	8
847	11	6	3	2	8
848	11	6	4	3	7
849	11	6	5	10	12
850	11	6	7	5	8
851	11	6	8	2	9
852	11	6	9	2	5
853	11	6	10	2	4
854	11	6	12	4	10
855	11	7	2	3	8
856	11	7	3	8	12
857	11	7	4	2	3
858	11	7	5	4	9
859	11	7	6	10	12
860	11	7	8	2	5
861	11	7	9	8	10
862	11	7	10	3	9
863	11	7	12	3	8
864	11	8	2	3	4
865	11	8	3	2	6
866	11	8	4	2	7
867	11	8	5	2	7
868	11	8	6	3	12
869	11	8	7	6	9
870	11	8	9	4	12
871	11	8	10	2	4
872	11	8	12	2	9
873	11	9	2	3	10
874	11	9	3	2	4
875	11	9	4	2	12
876	11	9	5	4	10
877	11	9	6	7	10
878	11	9	7	2	12
879	11	9	8	2	6
880	11	9	10	4	12
881	11	9	12	4	6
882	11	10	2	4	12
883	11	10	3	8	9
884	11	10	4	3	8
885	11	10	5	3	4
886	11	10	6	2	5
887	11	10	7	6	12
888	11	10	8	7	12
889	11	10	9	3	6
890	11	10	12	2	4
891	11	12	2	3	8
892	11	12	3	5	6
893	11	12	4	5	10
894	11	12	5	4	6
895	11	12	6	3	8
896	11	12	7	3	6
897	11	12	8	3	7
898	11	12	9	3	6
899	11	12	10	2	7
900	12	2	3	8	11
901	12	2	4	3	7
902	12	2	5	7	11
903	12	2	6	8	9
904	12	2	7	10	11
905	12	2	8	6	7
906	12	2	9	4	11
907	12	2	10	4	11
908	12	2	11	9	10
909	12	3	2	4	7
910	12	3	4	6	7
911	12	3	5	4	6
912	12	3	6	8	9
913	12	3	7	4	6
914	12	3	8	9	11
915	12	3	9	2	8
916	12	3	10	5	9
917	12	3	11	7	9
918	12	4	2	6	7
919	12	4	3	6	10
920	12	4	5	6	9
921	12	4	6	9	10
922	12	4	7	6	10
923	12	4	8	10	11
924	12	4	9	7	8
925	12	4	10	3	8
926	12	4	11	7	10
927	12	5	2	7	10
928	12	5	3	6	7
929	12	5	4	9	11
930	12	5	6	2	9
931	12	5	7	2	8
932	12	5	8	2	10
933	12	5	9	3	7
934	12	5	10	2	6
935	12	5	11	2	7
936	12	6	2	3	11
937	12	6	3	4	10
938	12	6	4	2	3
939	12	6	5	4	11
940	12	6	7	9	10
941	12	6	8	7	10
942	12	6	9	5	8
943	12	6	10	3	8
944	12	6	11	2	10
945	12	7	2	3	5
946	12	7	3	2	4
947	12	7	4	6	9
948	12	7	5	4	10
949	12	7	6	5	8
950	12	7	8	4	9
951	12	7	9	4	8
952	12	7	10	2	8
953	12	7	11	2	6
954	12	8	2	7	9
955	12	8	3	7	11
956	12	8	4	9	11
957	12	8	5	6	9
958	12	8	6	3	9
959	12	8	7	3	11
960	12	8	9	6	7
961	12	8	10	2	6
962	12	8	11	5	6
963	12	9	2	4	5
964	12	9	3	7	10
965	12	9	4	3	5
966	12	9	5	6	8
967	12	9	6	5	8
968	12	9	7	10	11
969	12	9	8	7	11
970	12	9	10	6	8
971	12	9	11	2	5
972	12	10	2	7	8
973	12	10	3	8	9
974	12	10	4	5	7
975	12	10	5	2	4
976	12	10	6	3	5
977	12	10	7	4	9
978	12	10	8	4	6
979	12	10	9	2	3
980	12	10	11	2	8
981	12	11	2	6	8
982	12	11	3	4	7
983	12	11	4	7	9
984	12	11	5	7	8
985	12	11	6	3	10
986	12	11	7	4	9
987	12	11	8	3	6
988	12	11	9	3	10
989	12	11	10	3	9
